,DaysSinceLastStay,TotalRevenue,Tenure
641,527,199.5,0
642,863,212.0,0
643,619,879.8,0
645,773,622.0,0
646,981,1354.3,0
647,506,407.0,0
648,137,2124.869999999994,0
649,131,359.0,0
650,115,558.0,0
651,959,2273.869999999994,6
652,515,680.0,0
653,805,220.0,0
654,166,735.5,0
655,864,927.7,0
656,661,380.0,0
657,316,83.0,0
658,503,147.0,0
659,480,997.2,0
660,299,157.26,0
661,527,162.0,0
662,419,181.0,0
663,899,1075.0,0
664,577,256.0,0
665,712,217.0,0
666,446,404.0,0
667,257,729.7,1
668,183,533.0,0
669,1088,198.0,0
670,262,450.0,0
671,725,309.34000000000003,0
672,954,171.3,0
673,196,160.2,0
674,212,1539.0,0
675,205,1585.1000000000001,740
676,257,1348.5,0
677,499,374.1,0
678,720,66.0,0
679,929,184.5,0
680,118,801.0,0
681,924,292.3,0
682,98,180.2,0
683,417,619.3,0
684,89,141.0,0
685,983,262.0,0
686,477,725.0,0
687,421,550.1,0
688,838,503.0,0
689,106,326.0,0
690,61,359.0,0
691,926,171.0,0
692,224,685.54,0
693,85,431.0,0
694,39,273.3,0
695,1069,0.0,0
696,468,160.0,0
697,134,278.18,0
698,78,325.21000000000004,0
699,642,128.5,0
700,565,2243.869999999994,0
701,884,1661.3,0
702,269,206.0,0
703,609,119.0,0
704,612,520.2,0
705,609,520.0,0
706,105,349.7,1
707,550,360.4,0
708,1038,14.5,0
709,561,192.0,0
710,228,154.0,0
711,587,572.0,0
712,863,396.0,0
713,519,830.0,0
714,972,354.0,0
715,777,259.5,0
716,1026,180.0,0
717,50,243.0,0
718,243,666.5,0
719,789,231.3,0
720,342,0.0,436
721,482,1473.75,0
722,3,71.0,0
723,587,111.0,0
724,97,215.28,0
725,790,306.7,0
726,667,360.0,0
727,842,556.25,0
728,623,26.0,0
729,384,359.75,0
730,93,505.0,0
731,926,198.1,0
732,980,374.8,0
733,480,484.5,0
734,55,242.0,0
735,741,160.6,0
736,127,395.0,0
737,808,237.0,0
738,250,701.5,0
739,599,947.1,0
740,712,76.0,0
741,825,131.5,0
742,110,328.5,0
743,1026,276.6,0
744,562,560.0,0
745,1057,840.99,0
746,753,202.4,0
747,330,818.05,0
748,452,486.0,0
749,574,545.4,0
750,862,197.2,0
751,259,369.82,0
752,258,0.0,0
753,9,374.98,0
754,436,556.6,0
755,227,715.22,0
756,586,266.8,0
757,637,344.0,0
758,899,1066.1,0
759,554,568.8,0
760,868,544.0,0
761,373,319.04,6
762,89,1232.0,0
763,913,617.15,0
764,536,248.8,0
765,104,1321.0,0
766,666,599.0,0
767,908,540.5,0
768,684,350.5,0
769,671,313.5,0
770,802,530.6600000000001,17
771,123,406.20000000000005,0
772,1054,173.0,0
773,794,333.5,12
774,739,824.089999999998,0
775,659,82.0,0
776,245,803.7,0
777,447,274.7,0
778,576,320.5,0
779,576,351.0,0
780,254,489.5,0
781,240,613.4,0
782,352,478.75,0
783,212,101.0,0
784,261,170.0,0
785,863,132.0,0
786,440,595.0,0
787,753,200.2,0
788,858,371.0,0
789,161,736.0,0
790,694,255.32,0
791,119,866.0,0
792,930,273.0,0
793,509,370.5,0
794,839,234.0,0
795,860,610.25,0
796,599,310.2,0
798,674,76.0,0
799,766,475.5,0
800,865,234.0,0
801,23,114.0,0
802,828,91.0,0
803,638,2180.5,0
804,125,163.0,0
805,837,300.0,0
806,208,1966.869999999994,0
807,127,306.0,0
808,159,696.85,0
809,480,111.0,0
810,418,549.5,0
811,884,236.5,0
812,79,556.0,0
813,812,84.66,0
814,595,406.5,0
815,767,292.14,0
816,569,111.28,0
817,1000,248.0,0
818,470,564.28,0
819,133,418.32,0
820,121,754.3,0
821,464,677.0,0
822,998,52.0,0
823,732,608.9,0
824,326,606.25,0
825,363,341.5,0
826,865,234.0,0
827,207,410.0,0
828,738,467.25,0
829,143,452.4,0
830,289,604.0,0
831,416,532.0,0
832,416,403.5,0
834,189,160.0,0
835,456,472.0,0
836,530,489.9,0
837,623,484.0,0
839,703,495.0,0
840,716,626.0,0
841,593,501.0,0
842,86,306.5,0
843,874,301.0,0
844,297,184.2,0
845,590,374.0,0
846,869,811.5699999999999,0
847,930,328.25,0
848,40,0.0,0
849,990,274.0,0
850,846,560.0,0
851,912,463.3,0
852,442,280.0,0
853,278,1721.85,0
854,39,231.0,0
855,737,1145.4,0
856,876,156.5,0
857,841,370.66,0
858,1035,357.0,0
859,1094,294.0,0
860,340,348.0,0
861,96,95.0,0
862,84,992.5,0
863,520,848.5,0
864,244,406.0,184
865,316,782.1,0
866,979,396.0,0
867,362,289.3,0
868,848,473.54,0
869,192,479.2,0
870,193,84.0,0
871,460,350.36,0
872,205,856.08,0
873,170,113.2,0
874,819,393.42,0
875,956,541.5,0
876,793,413.0,0
877,215,320.0,0
879,714,246.4,3
880,61,260.0,0
881,422,282.0,0
882,241,294.48,0
883,302,853.55,0
884,882,131.0,0
885,97,314.5,0
886,790,1522.1999999999998,0
887,290,92.6,0
888,996,420.0,1
889,148,429.5,0
890,935,386.7,0
891,885,212.2,0
892,726,466.62,0
893,290,91.0,0
894,890,82.45,0
895,184,1342.0,1
896,903,554.25,0
897,921,130.0,0
898,600,141.0,0
899,797,432.9,0
900,573,2186.489999999998,0
901,739,513.2,227
902,258,332.0,0
903,289,453.0,0
904,350,140.0,0
905,773,368.0,0
906,228,135.0,0
907,327,433.5,0
908,464,161.0,0
909,831,385.0,5
910,1046,395.0,0
913,929,614.0,0
914,428,981.9,0
915,514,242.0,0
916,224,524.0,0
917,529,350.7,0
918,211,137.0,0
919,762,81.7,0
920,591,483.0,0
921,293,270.0,0
922,134,518.0,0
923,928,807.25,0
924,534,127.0,0
925,140,744.0,0
926,530,900.8,0
927,491,91.0,0
928,775,99.0,0
929,522,182.2,0
930,866,118.89,0
931,183,132.0,0
932,21,418.6,0
933,135,652.5799999999999,9
934,834,828.5,0
935,544,427.9,0
936,206,149.25,0
937,90,154.81,0
938,176,382.2,0
939,847,342.6,0
940,447,108.2,0
941,403,120.0,0
942,28,124.0,0
943,681,435.0,0
944,227,553.0,0
945,808,594.4,0
946,60,230.89999999999998,0
947,563,202.0,0
948,446,243.0,0
949,272,107.0,0
950,697,471.4,0
951,39,810.0,0
952,404,432.0,190
953,842,196.0,0
954,675,1381.5,0
955,631,164.0,0
956,117,262.0,0
957,346,152.0,0
958,801,134.7,0
959,966,623.0,0
960,492,802.52,0
961,870,663.6,0
962,733,1588.2,0
963,167,583.7,0
964,340,360.0,728
965,355,101.5,0
966,490,487.75,0
968,672,367.2,0
969,946,1131.9,0
970,175,125.0,0
971,904,148.5,0
972,70,1510.5,0
973,213,1136.0,0
974,772,300.8,0
975,634,357.0,0
976,679,529.1,0
977,337,363.29999999999995,0
978,78,489.0,0
979,332,290.0,0
981,240,403.5,0
982,885,211.9,0
983,177,1131.0,0
984,679,376.0,0
985,186,141.0,0
986,428,176.0,0
987,526,936.0,0
988,612,438.0,0
989,794,589.8,0
990,607,445.22,0
991,159,66.0,0
992,184,455.5,0
993,240,296.2,0
994,963,856.0,0
995,105,147.0,0
996,39,552.0,0
997,639,202.0,0
998,102,162.0,0
999,639,861.0,0
1000,369,444.0,0
1001,798,446.0,0
1002,142,567.5,0
1003,37,333.75,0
1004,491,475.5,0
1005,875,276.53999999999996,0
1006,1004,346.12,0
1007,753,227.0,0
1008,747,0.0,0
1009,897,562.8,0
1010,53,380.5,0
1011,312,233.91,0
1012,488,668.2,0
1013,415,245.4,0
1014,143,527.0,0
1015,462,536.0,0
1016,835,362.4,0
1017,900,531.6,0
1018,1096,420.0,0
1019,232,1168.0,0
1020,183,246.3,0
1021,369,750.5,0
1022,706,377.11,0
1023,825,336.64,0
1024,962,354.3,0
1025,996,614.0899999999999,0
1026,977,263.1,0
1027,647,370.6,0
1028,806,440.0,0
1029,554,568.8,0
1030,759,288.2,0
1031,102,151.0,0
1032,258,323.34,0
1033,143,429.5,0
1034,432,423.0,0
1035,312,282.3,0
1036,1030,148.5,0
1037,333,475.0,0
1038,655,522.7,0
1039,146,284.2,0
1040,808,234.0,0
1041,1069,450.0,0
1042,458,420.0,12
1043,389,291.0,0
1044,903,369.1,0
1045,605,77.0,0
1046,305,748.75,0
1047,989,126.0,0
1048,997,93.5,0
1049,305,561.4,0
1050,404,439.5,0
1051,775,156.0,0
1052,941,86.85,0
1053,955,159.4,0
1054,907,163.5,0
1055,81,304.0,0
1056,916,1202.35,0
1057,342,172.0,0
1058,67,604.0,0
1059,343,258.0,0
1060,601,267.5,0
1062,669,333.0,0
1063,459,327.0,0
1064,413,400.5,0
1065,150,356.0,0
1066,616,413.75,0
1067,873,809.6,0
1068,226,446.6,0
1069,420,1881.689999999998,0
1070,665,224.0,0
1071,330,967.75,0
1072,240,260.82,0
1073,628,789.75,0
1074,970,619.0,0
1075,414,350.0,0
1076,646,110.0,0
1077,283,20.0,0
1078,392,192.0,0
1079,784,429.49,0
1080,527,143.5,0
1081,330,440.6,0
1082,228,517.0,0
1083,436,756.0,0
1084,954,773.4,0
1085,770,352.0,0
1086,105,257.0,0
1087,934,286.0,0
1088,1005,762.0,0
1089,54,81.0,0
1090,955,67.0,0
1091,786,404.0,0
1092,206,486.0,0
1093,985,291.0,0
1094,597,446.5,0
1095,608,377.56,0
1096,900,307.2,0
1097,228,420.03999999999996,0
1098,1012,285.7,0
1099,166,464.5,0
1100,669,607.0,0
1101,914,284.5,0
1102,949,221.5,0
1103,619,873.2,0
1104,236,455.0,0
1105,33,348.0,0
1106,895,214.6,0
1107,199,297.0,0
1108,10,346.4,0
1109,855,528.85,0
1110,489,573.2,0
1111,806,322.9,0
1112,457,771.9,0
1113,58,276.0,0
1114,658,464.0,0
1115,204,153.0,0
1116,851,202.0,0
1117,255,302.0,0
1118,509,3.0,53
1119,486,364.4,0
1120,701,294.0,0
1121,281,1057.0,133
1122,900,261.0,0
1123,697,391.4,0
1124,812,282.0,0
1125,1010,654.5,13
1126,612,156.0,0
1127,978,607.8,0
1128,272,384.0,683
1129,26,81.0,0
1130,192,345.5,0
1131,599,606.0,0
1132,592,322.0,0
1133,888,192.95,0
1134,33,428.0,0
1135,33,150.0,0
1136,386,483.1,0
1137,79,169.2,0
1138,587,105.0,0
1139,85,20.0,0
1140,766,191.2,0
1141,803,453.0,0
1142,594,354.0,0
1143,250,761.5,0
1144,244,790.1,9
1145,557,406.0,0
1146,932,1078.1399999999999,0
1147,62,289.0,0
1148,93,101.0,0
1150,457,273.3,0
1151,469,433.0,0
1152,576,108.28,0
1153,475,455.5,0
1154,859,498.75,0
1155,199,813.5,0
1156,459,912.0,0
1157,18,1707.0,0
1158,799,928.7,0
1159,700,593.0,0
1160,816,348.0,0
1161,362,378.6,0
1162,776,216.5,0
1163,812,109.1,0
1164,651,194.0,0
1165,36,422.0,0
1166,440,964.0,0
1167,268,439.96,0
1168,818,110.9,0
1169,88,897.5,0
1170,326,851.9,3
1171,292,252.0,0
1172,467,511.5,0
1173,372,1282.2,6
1174,204,481.5,0
1175,630,956.6,0
1176,512,719.4,0
1177,532,625.3,0
1178,890,772.3,0
1179,855,270.0,0
1180,760,309.3,0
1181,49,231.0,0
1182,929,350.0,142
1183,463,424.0,0
1184,790,381.2,0
1185,400,335.99,0
